email,username,firstname,lastname
bd@shark.horse,bd,Burl,Duncan
bg@shark.horse,bg,Broderick,Gettings
cc@shark.horse,cc,Chelsea,Crosley
ch@shark.horse,ch,Chang,Helstrom
db@shark.horse,db,Denver,Bylsma
dd@shark.horse,dd,Dorthea,Dana
dh@shark.horse,dh,Domonique,Hepfer
eo@shark.horse,eo,Elvis,Oslund
gg@shark.horse,gg,Gina,Gearheart
hp@shark.horse,hp,Hanna,Ploss
hv@shark.horse,hv,Hyon,Vandorn
ig@shark.horse,ig,Isidro,Gardella
jb@shark.horse,jb,Jimmy,Bannerman
lc@shark.horse,lc,Luciana,Caughman
mm@shark.horse,mm,Matt,Malbrough
pa@shark.horse,pa,Pasquale,Alexandra
rzc@shark.horse,rzc,Reynaldo,Copland
rc@shark.horse,rc,Rosy,Couture
sh@shark.horse,sh,Sina,Hout
th@shark.horse,th,Tad,Hoefer

